date,units_consumed,cost,notes
2025-01-01,12.5,81.25,Normal usage
2025-01-02,14.2,92.30,AC used longer
2025-01-03,11.8,76.70,Weekend
2025-01-04,13.6,88.40,Normal usage
2025-01-05,15.1,98.15,Guests at home
2025-01-06,12.9,83.85,Normal usage
2025-01-07,10.7,69.55,Less usage
2025-01-08,14.8,96.20,AC usage
2025-01-09,13.1,85.15,Normal usage
2025-01-10,16.3,105.95,High consumption
2025-01-11,11.4,74.10,Weekend
2025-01-12,12.8,83.20,Normal usage
2025-01-13,15.6,101.40,More appliance usage
2025-01-14,13.9,90.35,Normal usage
2025-01-15,12.2,79.30,Normal usage
2025-01-16,14.5,94.25,AC usage
2025-01-17,16.0,104.00,High usage
2025-01-18,11.9,77.35,Weekend
2025-01-19,13.4,87.10,Normal usage
2025-01-20,14.7,95.55,Normal usage
